Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
40,0,2,1,2,4,4,1,78,1,4,6,1,50330,2.0,0,14,8,2,6.0,6,4,0,2
29,1,2,1,29,3,3,1,79,0,1,6,1,23070,1.0,0,13,8,1,7.0,0,7,0,7
29,0,2,0,8,3,3,1,80,1,3,8,2,25870,0.0,0,22,8,2,4.0,3,3,2,2
30,0,2,1,10,3,1,1,81,1,2,6,0,55070,1.0,0,12,8,2,10.0,2,10,1,2
27,0,2,1,11,2,3,1,82,1,1,3,1,43930,1.0,0,18,8,1,8.0,2,8,0,7
37,0,2,2,1,4,1,1,83,1,2,0,0,133480,7.0,0,14,8,0,8.0,4,6,0,4
38,0,2,1,28,4,3,1,84,1,1,2,0,65830,0.0,0,12,8,0,12.0,1,11,2,9
31,0,2,1,6,3,3,1,85,0,3,3,2,81030,1.0,0,15,8,1,11.0,5,11,4,10
29,0,2,1,3,4,1,1,86,1,3,7,0,39780,1.0,0,11,8,0,7.0,0,7,1,7
35,0,2,2,16,2,5,1,87,1,3,3,2,25440,0.0,0,13,8,1,17.0,3,16,0,13
23,0,2,1,20,4,1,1,88,1,1,4,0,53990,1.0,0,23,8,0,4.0,2,4,0,2
41,0,2,1,9,2,1,1,89,0,1,2,2,54870,6.0,0,19,8,2,8.0,0,5,1,2
47,0,1,2,1,3,3,1,90,0,2,2,2,68340,3.0,0,16,8,1,5.0,2,0,0,0
42,0,2,1,3,4,1,1,91,1,1,3,2,10910,2.0,0,22,8,0,16.0,0,1,0,0
29,0,0,2,22,4,2,1,92,1,2,1,1,57360,1.0,0,22,8,0,4.0,1,4,0,2
42,0,2,2,7,4,3,1,93,1,3,6,0,22260,0.0,0,12,8,1,4.0,3,3,1,0
32,0,2,1,2,3,3,1,94,1,2,6,1,57470,1.0,0,13,8,0,8.0,0,8,0,7
48,0,2,2,13,4,3,1,95,1,4,7,1,98540,3.0,0,16,8,1,15.0,2,0,0,0
37,0,2,1,8,5,5,1,96,1,2,4,0,54670,4.0,0,12,8,0,13.0,2,7,6,7
30,0,0,2,25,4,4,1,97,1,1,0,1,53800,7.0,0,21,8,1,4.0,0,2,2,2
26,0,2,2,28,3,3,1,98,0,5,2,1,51510,1.0,0,15,8,3,8.0,3,8,7,7
42,0,2,2,2,2,3,1,99,0,1,2,2,21330,3.0,0,13,8,2,14.0,2,1,0,0
21,1,1,1,9,3,3,1,100,0,4,4,2,178750,1.0,0,12,8,0,3.0,5,3,1,2
36,0,0,0,28,3,0,1,101,1,2,2,2,24320,4.0,0,22,8,0,7.0,4,1,0,0
36,0,1,1,6,3,1,1,102,0,2,6,1,47710,4.0,0,13,8,1,16.0,2,13,1,12
57,0,2,1,21,4,1,1,103,1,5,6,1,191610,2.0,0,18,8,0,15.0,2,3,1,2
40,0,2,1,8,3,4,1,104,1,2,7,1,50870,3.0,0,14,8,1,10.0,3,7,1,7
21,0,0,1,1,5,1,1,105,0,2,3,2,28630,1.0,0,14,8,0,3.0,2,3,2,2
33,1,2,0,28,2,0,1,106,0,5,3,2,55610,1.0,0,21,8,1,1.0,3,1,0,0
37,0,2,1,5,3,1,1,107,1,4,6,1,21440,6.0,0,19,8,0,17.0,3,5,0,3
46,0,0,2,2,4,2,1,108,0,2,2,1,30650,2.0,0,11,8,0,7.0,3,1,0,0
41,1,1,1,16,1,3,1,109,0,1,6,2,28100,1.0,0,11,8,0,8.0,3,8,7,7
50,0,2,1,9,3,3,1,110,0,3,2,2,98880,6.0,0,15,8,0,20.0,2,4,1,3
40,1,2,1,8,3,3,1,111,0,1,0,1,86280,2.0,0,20,8,0,8.0,2,6,1,0
31,0,2,1,1,3,1,1,112,1,4,1,2,28670,0.0,0,24,8,0,3.0,5,2,2,2
21,1,2,0,10,2,0,1,113,1,1,2,2,53730,1.0,0,12,8,1,1.0,2,1,0,0
29,0,2,1,1,3,1,1,114,0,2,5,2,66670,9.0,0,12,8,1,6.0,6,3,1,2
35,0,2,1,29,3,1,1,115,0,3,7,2,50030,9.0,0,15,8,0,10.0,2,1,0,0
27,0,2,2,2,3,1,1,116,1,1,7,0,23670,,0,12,8,1,5.0,2,5,0,4
28,0,2,1,2,2,3,1,117,1,3,3,2,28580,1.0,0,12,8,0,7.0,2,7,0,7
49,0,2,2,2,3,5,1,118,1,2,4,2,52040,8.0,0,14,8,1,26.0,3,5,0,0
51,0,2,1,1,2,1,1,119,1,1,7,1,41050,4.0,0,22,8,1,18.0,2,7,0,7
36,0,2,2,15,2,1,1,120,1,1,7,1,96790,4.0,0,12,8,0,6.0,1,2,2,2
34,1,0,1,7,3,1,1,121,1,1,8,2,56170,8.0,0,25,8,1,9.0,3,5,0,4
55,0,2,2,26,3,2,1,122,1,1,2,2,104480,2.0,0,13,8,0,30.0,3,5,1,2
24,0,2,1,1,3,1,1,123,0,5,3,0,28970,1.0,0,18,8,3,5.0,4,5,0,3
30,0,2,1,3,3,1,1,124,0,2,3,1,59680,1.0,0,13,8,0,1.0,3,1,0,0
26,1,1,2,14,3,1,1,125,1,2,3,2,75100,0.0,0,18,8,3,7.0,3,6,0,4
22,0,2,1,16,5,4,1,126,1,1,6,1,29910,1.0,0,19,8,2,2.0,3,2,1,2
36,0,2,1,1,3,3,1,127,0,5,0,1,196360,1.0,0,12,8,1,10.0,3,10,9,0
30,1,1,2,3,2,2,1,128,1,3,6,2,11290,9.0,0,19,8,0,3.0,2,1,0,0
37,0,2,1,10,1,5,1,129,1,1,7,0,133410,1.0,0,14,8,1,18.0,3,18,12,17
40,0,2,1,6,2,3,1,130,1,3,6,0,43320,7.0,0,14,8,2,8.0,3,5,1,3
42,0,2,1,2,3,3,1,131,0,4,3,0,110310,3.0,0,12,8,1,8.0,2,5,1,2
37,0,2,2,9,1,2,1,132,1,3,7,2,44400,2.0,0,11,8,1,18.0,3,1,0,1
43,0,2,2,10,2,1,1,133,0,1,7,0,46170,1.0,0,11,8,0,25.0,2,25,3,9
40,0,2,2,6,2,1,1,134,0,1,2,1,26470,6.0,0,13,8,0,20.0,2,1,0,0
54,0,2,0,9,3,1,1,135,0,2,4,1,63230,4.0,0,23,8,1,24.0,2,4,1,2
34,0,0,1,28,3,3,1,136,1,1,2,1,56770,9.0,0,20,8,1,6.0,3,3,1,2
31,0,2,1,10,4,1,1,137,1,3,7,1,21870,1.0,0,15,8,1,13.0,2,13,3,12
43,0,1,2,14,3,1,1,138,0,1,4,1,37480,7.0,0,14,8,2,,3,3,1,2
43,0,2,2,27,4,1,1,139,1,2,8,0,39770,4.0,0,18,8,1,8.0,3,5,0,2
25,0,2,0,7,2,0,1,140,1,1,4,2,86330,1.0,0,19,8,1,5.0,2,5,1,3
37,0,0,1,1,3,3,1,141,1,3,2,1,20080,3.0,0,22,8,0,15.0,5,13,10,7
31,0,2,1,24,1,3,1,142,1,3,2,1,44400,1.0,0,13,8,1,4.0,2,4,3,2
39,0,1,1,26,4,5,1,143,0,1,7,0,30670,1.0,0,20,8,1,21.0,5,21,1,6
56,0,1,1,20,4,1,1,144,0,3,7,1,53210,9.0,0,14,8,0,36.0,1,7,7,7
30,0,2,2,5,4,3,1,145,0,2,4,2,54100,0.0,0,17,8,1,6.0,2,5,4,4
41,0,2,1,7,3,5,1,146,0,3,6,1,27820,1.0,0,14,8,0,10.0,2,10,0,7
28,0,2,1,7,3,3,1,147,1,3,0,0,119570,1.0,0,13,8,0,10.0,2,10,1,8
25,1,2,1,5,2,1,1,148,0,3,2,1,26600,5.0,0,13,8,0,6.0,3,2,0,2
52,0,2,1,26,2,1,1,149,0,2,8,1,33750,2.0,0,21,8,0,28.0,2,5,0,4
45,0,2,1,2,3,3,1,150,0,1,7,1,50980,3.0,0,14,8,1,8.0,4,2,0,2
52,0,2,1,12,3,3,1,151,1,2,6,1,48780,2.0,0,11,8,1,31.0,3,5,1,4
42,0,1,2,10,3,2,1,152,0,2,0,0,28370,2.0,0,13,8,1,19.0,0,5,0,2
30,0,2,2,25,3,2,1,153,1,1,7,2,24060,2.0,0,20,8,1,11.0,5,5,0,2
60,0,2,1,10,3,1,1,154,0,1,4,1,22690,5.0,0,18,8,1,33.0,4,29,11,10
46,0,2,2,19,4,2,1,155,0,1,7,0,41080,2.0,0,14,8,0,19.0,5,10,0,8
42,0,1,1,18,4,5,1,156,1,4,7,1,132060,0.0,0,13,8,2,7.0,2,6,0,4
24,1,2,1,27,2,3,1,157,1,1,6,2,104220,1.0,0,17,8,1,6.0,0,5,1,4
34,1,1,1,5,3,3,1,158,1,2,6,0,137440,0.0,0,20,8,1,3.0,3,2,1,0
38,0,1,2,3,3,2,1,159,0,2,7,1,49070,1.0,0,11,8,1,1.0,3,1,0,0
40,0,2,2,26,4,2,1,160,0,1,7,1,34820,0.0,0,18,8,1,21.0,2,20,1,12
26,0,2,1,3,2,3,1,161,0,4,0,0,24360,1.0,0,24,8,0,3.0,2,3,0,2
30,0,0,1,15,3,3,1,162,0,2,7,1,23800,4.0,0,18,8,3,9.0,2,5,1,4
29,0,2,1,8,3,3,1,163,0,3,4,1,194310,1.0,0,11,8,0,10.0,3,10,0,7
29,1,2,1,19,4,1,1,164,1,3,6,1,17900,5.0,0,16,8,1,6.0,4,2,1,1
19,1,2,1,4,3,3,1,165,1,1,7,2,76440,1.0,0,15,8,2,1.0,2,1,0,0
30,0,0,1,2,4,1,1,166,0,3,6,1,51310,0.0,0,15,8,1,10.0,2,9,7,8
57,0,2,1,2,2,1,1,167,1,4,6,0,63060,3.0,0,12,8,1,32.0,3,1,0,0
50,0,2,2,10,4,1,1,168,0,3,3,1,47870,0.0,0,12,8,0,28.0,3,27,15,7
30,0,0,2,10,2,1,1,169,1,3,2,2,188800,0.0,0,22,8,1,12.0,3,11,6,7
60,0,1,1,16,3,1,1,170,0,4,2,1,23390,4.0,0,20,8,0,22.0,4,18,13,11
47,0,2,1,1,3,5,1,171,1,5,4,0,135700,5.0,0,16,8,2,20.0,2,5,0,4
46,0,2,2,4,1,5,1,172,1,1,2,1,67120,6.0,0,21,8,1,26.0,3,3,0,1
35,0,2,1,15,2,3,1,173,0,2,2,2,54060,0.0,0,12,8,1,6.0,2,5,4,3
54,0,2,1,2,4,3,1,174,1,2,1,2,89380,7.0,0,11,8,3,19.0,2,1,0,0
34,0,2,2,8,2,1,1,175,1,1,2,0,24390,3.0,0,11,8,2,14.0,2,7,5,7
46,0,2,1,2,3,1,1,176,1,1,0,1,88370,2.0,0,18,8,0,15.0,3,3,1,2
31,0,2,1,7,3,1,1,177,1,2,5,0,53430,1.0,0,14,8,1,13.0,3,13,0,8
33,1,2,1,10,3,1,1,178,0,4,5,1,67280,7.0,0,22,8,0,15.0,2,7,7,7
33,1,2,2,5,4,2,1,179,1,2,5,0,66520,7.0,0,25,8,0,8.0,5,4,1,3
30,0,2,1,2,3,1,1,180,1,1,7,2,48500,0.0,0,12,8,1,4.0,4,3,1,2
35,0,2,1,12,2,3,1,181,0,2,8,1,28090,4.0,0,23,8,1,10.0,2,8,0,0
31,1,1,1,22,2,3,1,182,0,2,7,1,56890,3.0,0,15,8,2,12.0,2,1,0,0
34,1,1,2,17,1,2,1,183,1,1,5,0,20010,9.0,0,22,8,1,11.0,5,3,0,2
42,0,1,1,2,4,3,1,184,0,1,6,1,29770,4.0,0,15,8,3,8.0,3,2,2,0
36,0,0,1,3,4,3,1,185,1,1,6,2,40250,1.0,0,11,8,0,10.0,3,10,9,7
22,1,1,1,7,3,3,1,186,0,2,2,2,37850,5.0,0,13,8,2,4.0,2,2,1,2
48,0,2,1,6,3,3,1,187,1,1,2,1,108540,2.0,0,14,8,1,14.0,6,9,6,7
55,0,2,1,1,3,3,1,188,0,1,7,2,120310,3.0,0,11,8,0,37.0,5,10,7,7
41,0,0,1,3,2,1,1,189,0,2,6,2,99360,7.0,0,17,8,1,16.0,2,14,1,10
35,0,2,1,22,3,3,1,190,0,1,8,1,29660,9.0,0,18,8,0,15.0,2,11,6,9
40,0,2,1,15,3,1,1,191,0,2,2,2,25710,7.0,0,14,8,0,22.0,1,20,5,13
39,0,1,1,12,1,3,1,192,1,1,6,1,99910,1.0,0,16,8,1,8.0,3,8,0,7
31,0,2,1,1,4,1,1,193,1,3,5,2,61420,4.0,0,13,8,2,10.0,2,6,0,5
42,0,2,1,5,3,3,1,194,1,3,7,1,53900,1.0,0,14,8,0,10.0,3,10,5,8
45,0,2,1,2,1,3,1,195,0,4,7,1,44040,0.0,0,23,8,0,9.0,2,8,3,7
26,1,1,1,2,1,1,1,196,0,2,2,0,59930,0.0,0,12,8,0,8.0,3,7,1,0
29,0,2,1,5,3,3,1,197,1,1,6,0,51300,4.0,0,11,8,0,8.0,3,3,1,2
33,0,2,1,16,3,3,1,198,0,1,2,0,20900,4.0,0,16,8,0,10.0,2,6,0,5
31,0,2,1,2,4,1,1,199,0,1,7,0,29090,9.0,0,14,8,2,10.0,2,5,0,1
18,1,1,1,2,3,5,1,200,1,1,7,2,34680,1.0,0,18,8,2,0.0,4,0,0,0
40,0,0,1,1,4,5,1,201,0,2,2,0,30680,3.0,0,19,8,0,20.0,3,1,0,1
41,0,0,1,23,3,1,1,202,1,2,4,2,26700,2.0,0,15,8,2,10.0,2,8,0,7
26,0,2,1,9,4,3,1,203,1,3,0,0,26930,5.0,0,17,8,3,8.0,3,0,0,0
35,0,2,1,16,4,3,1,204,1,2,1,2,95260,1.0,0,15,8,0,5.0,2,5,0,3
34,0,2,1,26,3,3,1,205,1,1,2,2,52370,1.0,0,19,8,1,10.0,3,10,5,7
26,1,2,2,1,3,2,1,206,0,2,4,2,24260,1.0,0,22,8,0,1.0,3,1,0,0
37,0,2,1,8,1,1,1,207,1,1,7,2,41930,4.0,0,16,8,1,12.0,5,6,1,2
46,0,1,1,4,1,3,1,208,1,5,1,1,29110,5.0,0,13,8,0,28.0,3,2,1,2
41,0,2,1,24,1,1,1,209,1,1,5,1,26610,7.0,0,14,8,1,22.0,2,18,11,8
37,0,0,1,7,2,3,1,210,1,1,7,0,20280,1.0,0,16,8,1,9.0,3,9,7,7
52,0,2,2,2,1,3,1,211,1,1,2,0,99800,,0,11,8,1,18.0,2,10,6,9
32,1,0,1,7,2,1,1,212,0,2,5,1,32980,8.0,0,22,8,0,6.0,4,4,1,2
24,0,1,2,22,3,1,1,213,0,1,0,1,29350,0.0,0,14,8,2,3.0,5,2,2,1
38,0,2,1,5,3,1,1,214,0,1,6,1,154270,3.0,0,16,8,1,18.0,2,1,0,0
37,0,2,1,1,4,5,1,215,0,5,6,1,39440,6.0,0,11,8,2,8.0,3,6,4,3
49,0,2,2,21,1,1,1,216,1,1,7,0,40110,1.0,0,18,8,2,31.0,2,31,0,9
24,0,2,2,1,3,2,1,217,0,1,7,1,34070,1.0,0,15,8,2,6.0,2,6,1,4
26,0,2,1,19,4,5,1,218,0,4,7,1,119940,1.0,0,14,8,1,6.0,6,5,1,4
24,0,2,2,7,3,3,1,219,0,1,2,1,12320,1.0,0,12,8,0,1.0,4,1,0,0
50,0,1,2,2,2,2,1,220,1,1,7,1,29600,1.0,0,14,8,3,32.0,2,32,10,7
25,0,2,1,2,3,1,1,221,1,1,6,1,190940,1.0,0,16,8,0,7.0,3,7,0,6
24,1,1,1,2,3,3,1,222,1,2,6,1,39190,1.0,0,21,8,0,6.0,3,6,1,2
30,1,1,1,9,3,4,1,223,1,2,0,1,68250,1.0,0,14,8,0,1.0,2,1,0,0
34,0,2,2,6,2,1,1,224,1,4,5,1,102480,1.0,0,12,8,1,6.0,4,6,1,3
31,1,2,1,9,1,3,1,225,0,1,8,0,189470,2.0,0,12,8,2,9.0,2,3,1,2
35,0,2,1,2,3,1,1,226,0,5,7,2,24960,4.0,0,17,8,3,9.0,3,3,0,2
31,0,2,2,1,3,2,1,227,0,2,7,0,64650,4.0,0,17,8,0,13.0,3,7,5,7
27,0,2,2,22,4,3,1,228,1,1,8,0,22060,0.0,0,14,8,1,6.0,4,5,0,3
37,0,2,2,9,4,2,1,229,0,2,2,1,20860,4.0,0,14,8,0,17.0,3,3,1,0
20,0,2,1,17,4,3,1,230,0,1,8,2,22930,1.0,0,13,8,2,1.0,3,1,0,0
42,0,2,1,28,4,1,1,231,0,2,4,1,26450,1.0,0,15,8,0,10.0,5,10,2,2
43,0,2,1,10,5,5,1,232,0,2,7,0,26830,4.0,0,11,8,0,21.0,3,1,0,0
38,0,2,0,2,4,3,1,233,1,1,1,2,20140,3.0,0,17,8,1,8.0,5,0,0,0
43,0,1,2,4,3,3,1,234,0,2,0,0,34190,3.0,0,11,8,1,10.0,5,8,4,7
48,0,2,1,8,1,3,1,235,1,2,2,1,53760,7.0,0,13,8,1,21.0,3,3,0,2
44,0,2,2,29,4,2,1,236,1,2,7,2,19510,4.0,0,22,8,3,10.0,4,2,0,2
34,0,2,1,13,4,1,1,237,0,1,2,0,23410,1.0,0,20,8,2,8.0,3,8,0,6
27,1,2,2,27,3,1,1,238,1,2,6,0,22930,0.0,0,18,8,0,5.0,0,4,0,2
21,0,2,2,16,2,1,1,239,1,3,7,2,87260,1.0,0,11,8,1,3.0,2,3,1,2
44,0,2,1,2,2,1,1,240,1,1,2,1,40110,4.0,0,14,8,1,26.0,2,2,0,1
22,0,2,1,2,2,3,1,241,0,2,2,1,195450,0.0,0,14,8,0,3.0,3,2,2,2
33,0,2,2,13,4,2,1,242,0,2,4,0,45680,0.0,0,18,8,1,6.0,2,5,1,2
32,0,2,1,1,1,1,1,243,0,1,0,1,30220,1.0,0,16,8,1,6.0,3,6,0,5
30,0,1,1,4,5,5,1,244,1,3,3,0,57720,1.0,0,17,8,0,1.0,3,1,0,0
53,0,2,1,24,3,4,1,245,0,3,3,2,22690,7.0,0,11,8,1,18.0,2,14,8,10
34,0,2,1,1,5,3,1,246,1,1,6,1,53810,1.0,0,12,8,0,10.0,0,10,8,8
45,1,1,1,19,4,1,1,247,1,3,5,1,34410,2.0,0,13,8,1,5.0,5,1,0,0
26,0,2,1,7,2,1,1,248,1,1,4,1,54540,1.0,0,13,8,1,3.0,5,3,0,2
37,0,2,1,4,3,3,1,249,1,1,3,1,98840,1.0,0,14,8,0,10.0,3,10,7,8
29,0,2,1,2,3,1,1,250,0,1,0,1,41570,1.0,0,17,8,3,6.0,2,6,1,2
35,0,2,1,10,5,3,1,251,0,4,2,2,134580,1.0,0,11,8,0,17.0,3,17,11,8
33,0,1,1,8,3,5,1,252,1,2,2,0,90690,3.0,0,25,8,1,15.0,3,13,4,7
54,0,2,1,5,2,1,1,253,0,2,7,1,40140,2.0,0,19,8,1,16.0,4,9,7,1
36,0,2,1,8,3,1,1,254,1,2,6,0,59150,2.0,0,13,8,1,13.0,3,3,0,2
27,0,2,2,9,3,2,1,255,1,5,5,2,59930,0.0,0,14,8,1,5.0,3,4,1,1
20,1,2,1,1,3,1,1,256,1,5,8,2,61620,1.0,0,12,8,3,1.0,2,1,1,1
33,1,1,1,15,4,3,1,257,0,1,2,2,24060,1.0,0,11,8,0,10.0,3,10,9,7
